
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071421281600_s.jpg.txt	[Extension: .jpg]	[Size: 88838 bytes]	[Last modification: 2020-07-14 19:28:16]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071516385100_s.jpg.txt	[Extension: .jpg]	[Size: 227292 bytes]	[Last modification: 2020-07-15 14:38:51]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071519530600_s.jpg.txt	[Extension: .jpg]	[Size: 164102 bytes]	[Last modification: 2020-07-15 17:53:06]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071519530700_s.jpg.txt	[Extension: .jpg]	[Size: 80043 bytes]	[Last modification: 2020-07-15 17:53:07]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520143800_s.jpg.txt	[Extension: .jpg]	[Size: 83644 bytes]	[Last modification: 2020-07-15 18:14:38]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520181300_s.jpg.txt	[Extension: .jpg]	[Size: 270753 bytes]	[Last modification: 2020-07-15 18:18:13]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520181700_s.jpg.txt	[Extension: .jpg]	[Size: 270755 bytes]	[Last modification: 2020-07-15 18:18:17]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520182000_s.jpg.txt	[Extension: .jpg]	[Size: 272121 bytes]	[Last modification: 2020-07-15 18:18:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520182400_s.jpg.txt	[Extension: .jpg]	[Size: 276671 bytes]	[Last modification: 2020-07-15 18:18:24]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520185100_s.jpg.txt	[Extension: .jpg]	[Size: 265830 bytes]	[Last modification: 2020-07-15 18:18:51]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520195800_s.jpg.txt	[Extension: .jpg]	[Size: 220573 bytes]	[Last modification: 2020-07-15 18:19:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520214300_s.jpg.txt	[Extension: .jpg]	[Size: 201788 bytes]	[Last modification: 2020-07-15 18:21:43]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520215000_s.jpg.txt	[Extension: .jpg]	[Size: 98067 bytes]	[Last modification: 2020-07-15 18:21:50]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520222300_s.jpg.txt	[Extension: .jpg]	[Size: 53754 bytes]	[Last modification: 2020-07-15 18:22:23]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520244600_s.jpg.txt	[Extension: .jpg]	[Size: 83130 bytes]	[Last modification: 2020-07-15 18:24:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520334000_s.jpg.txt	[Extension: .jpg]	[Size: 73985 bytes]	[Last modification: 2020-07-15 18:33:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071520495900_s.jpg.txt	[Extension: .jpg]	[Size: 397935 bytes]	[Last modification: 2020-07-15 18:49:59]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071521364200_s.jpg.txt	[Extension: .jpg]	[Size: 196587 bytes]	[Last modification: 2020-07-15 19:36:42]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071521364400_s.jpg.txt	[Extension: .jpg]	[Size: 116069 bytes]	[Last modification: 2020-07-15 19:36:44]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071521433900_s.jpg.txt	[Extension: .jpg]	[Size: 333895 bytes]	[Last modification: 2020-07-15 19:43:39]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071521452500_s.jpg.txt	[Extension: .jpg]	[Size: 294136 bytes]	[Last modification: 2020-07-15 19:45:25]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071521464900_s.jpg.txt	[Extension: .jpg]	[Size: 335164 bytes]	[Last modification: 2020-07-15 19:46:49]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071522190200_s.jpg.txt	[Extension: .jpg]	[Size: 67770 bytes]	[Last modification: 2020-07-15 20:19:02]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071619030900_s.jpg.txt	[Extension: .jpg]	[Size: 242377 bytes]	[Last modification: 2020-07-16 17:03:09]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071619061300_s.jpg.txt	[Extension: .jpg]	[Size: 243544 bytes]	[Last modification: 2020-07-16 17:06:13]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071619104200_s.jpg.txt	[Extension: .jpg]	[Size: 244124 bytes]	[Last modification: 2020-07-16 17:10:42]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071619562900_s.jpg.txt	[Extension: .jpg]	[Size: 258975 bytes]	[Last modification: 2020-07-16 17:56:29]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071620391000_s.jpg.txt	[Extension: .jpg]	[Size: 322449 bytes]	[Last modification: 2020-07-16 18:39:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071620391200_s.jpg.txt	[Extension: .jpg]	[Size: 339319 bytes]	[Last modification: 2020-07-16 18:39:12]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071620391300_s.jpg.txt	[Extension: .jpg]	[Size: 341493 bytes]	[Last modification: 2020-07-16 18:39:13]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071620391600_s.jpg.txt	[Extension: .jpg]	[Size: 331498 bytes]	[Last modification: 2020-07-16 18:39:16]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071621372900_s.jpg.txt	[Extension: .jpg]	[Size: 279747 bytes]	[Last modification: 2020-07-16 19:37:29]
